name,cpu,cpu_cores,cpu_threads,cpu_benchmark,ram,ram_gb,storage,storage_gb,nvme,bandwidth,location,country,country_code,price_monthly,currency,price_usd,url
AMD Ryzen 7 3700X 3.6GHz 8 cores,AMD Ryzen 7 3700X 3.6GHz 8 cores,8,16,,32 GB DDR4,32,2x 512 GB (SSD SATA),1024,False,Unmetered @ 1 Gbps,"Riga, LV",Latvia,LV,124,EUR,153.0,https://valebyte.com/en/servers/amd-ryzen-7-3700x-36ghz-8-cores-riga-lv/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E-2276G 3.8GHz 6 cores,Intel Xeon E-2276G 3.8GHz 6 cores,6,12,,16 GB DDR4,16,1 TB (HDD SATA),1000,False,5 TB @ 1 Gbps,"Zurich, CH",Switzerland,CH,124,EUR,153.0,https://valebyte.com/en/servers/intel-xeon-e-2276g-38ghz-6-cores-zurich-ch/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
[Dual] Intel Xeon E5-2643 v4 3.4GHz 6 cores,[Dual] Intel Xeon E5-2643 v4 3.4GHz 6 cores,6,12,,32 GB DDR4,32,2x 240 GB (SSD SATA),480,False,Unmetered @ 1 Gbps,"Manchester, UK",UK,UK,124,EUR,153.0,https://valebyte.com/en/servers/dual-intel-xeon-e5-2643-v4-34ghz-6-cores-manchester-uk-1/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
[Dual] Intel Xeon E5-2643 v4 3.4GHz 6 cores,[Dual] Intel Xeon E5-2643 v4 3.4GHz 6 cores,6,12,,32 GB DDR4,32,2x 240 GB (SSD SATA),480,False,Unmetered @ 1 Gbps,"Nottingham, UK",UK,UK,124,EUR,153.0,https://valebyte.com/en/servers/dual-intel-xeon-e5-2643-v4-34ghz-6-cores-nottingham-uk-1/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E-2276G 3.8GHz 6 cores,Intel Xeon E-2276G 3.8GHz 6 cores,6,12,,16 GB DDR4,16,1 TB (HDD SATA),1000,False,5 TB @ 1 Gbps,"Belgrade, RS",Serbia,RS,124,EUR,153.0,https://valebyte.com/en/servers/intel-xeon-e-2276g-38ghz-6-cores-belgrade-rs/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Core i9-9900K,Intel Core i9-9900K,,,,64 GB DDR4,64,2x 1.0 TB (NVMe),2000,True,Unmetered @ 1 Gbps,"Helsinki, Finland",Finland,FI,124,EUR,153.0,https://valebyte.com/en/servers/intel-core-i9-9900k-helsinki-finland-1/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E-2276G 3.8GHz 6 cores,Intel Xeon E-2276G 3.8GHz 6 cores,6,12,,16 GB DDR4,16,1 TB (HDD SATA),1000,False,5 TB @ 1 Gbps,"Rome, IT",Italy,IT,124,EUR,153.0,https://valebyte.com/en/servers/intel-xeon-e-2276g-38ghz-6-cores-rome-it/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E-2276G 3.8GHz 6 cores,Intel Xeon E-2276G 3.8GHz 6 cores,6,12,,16 GB DDR4,16,1 TB (HDD SATA),1000,False,5 TB @ 1 Gbps,"Oslo, NO",Norway,NO,124,EUR,153.0,https://valebyte.com/en/servers/intel-xeon-e-2276g-38ghz-6-cores-oslo-no/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E-2276G 3.8GHz 6 cores,Intel Xeon E-2276G 3.8GHz 6 cores,6,12,,16 GB DDR4,16,1 TB (HDD SATA),1000,False,5 TB @ 1 Gbps,"Prague, CZ",Czechia (Czech Republic),CZ,124,EUR,153.0,https://valebyte.com/en/servers/intel-xeon-e-2276g-38ghz-6-cores-prague-cz/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E-2276G 3.8GHz 6 cores,Intel Xeon E-2276G 3.8GHz 6 cores,6,12,,16 GB DDR4,16,1 TB (HDD SATA),1000,False,5 TB @ 1 Gbps,"Milan, IT",Italy,IT,124,EUR,153.0,https://valebyte.com/en/servers/intel-xeon-e-2276g-38ghz-6-cores-milan-it/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E-2276G 3.8GHz 6 cores,Intel Xeon E-2276G 3.8GHz 6 cores,6,12,,16 GB DDR4,16,1 TB (HDD SATA),1000,False,5 TB @ 1 Gbps,"Bratislava, SK",Slovakia,SK,124,EUR,153.0,https://valebyte.com/en/servers/intel-xeon-e-2276g-38ghz-6-cores-bratislava-sk/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E-2276G 3.8GHz 6 cores,Intel Xeon E-2276G 3.8GHz 6 cores,6,12,,16 GB DDR4,16,1 TB (HDD SATA),1000,False,5 TB @ 1 Gbps,"Dublin, IE",Ireland,IE,124,EUR,153.0,https://valebyte.com/en/servers/intel-xeon-e-2276g-38ghz-6-cores-dublin-ie/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E-2276G 3.8GHz 6 cores,Intel Xeon E-2276G 3.8GHz 6 cores,6,12,,16 GB DDR4,16,1 TB (HDD SATA),1000,False,5 TB @ 1 Gbps,"Vienna, AT",Austria,AT,124,EUR,153.0,https://valebyte.com/en/servers/intel-xeon-e-2276g-38ghz-6-cores-vienna-at/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E-2276G 3.8GHz 6 cores,Intel Xeon E-2276G 3.8GHz 6 cores,6,12,,16 GB DDR4,16,1 TB (HDD SATA),1000,False,5 TB @ 1 Gbps,"Brussels, BE",Belgium,BE,124,EUR,153.0,https://valebyte.com/en/servers/intel-xeon-e-2276g-38ghz-6-cores-brussels-be/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E-2276G 3.8GHz 6 cores,Intel Xeon E-2276G 3.8GHz 6 cores,6,12,,16 GB DDR4,16,1 TB (HDD SATA),1000,False,5 TB @ 1 Gbps,"Bucharest, RO",Romania,RO,124,EUR,153.0,https://valebyte.com/en/servers/intel-xeon-e-2276g-38ghz-6-cores-bucharest-ro/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E-2276G 3.8GHz 6 cores,Intel Xeon E-2276G 3.8GHz 6 cores,6,12,,16 GB DDR4,16,1 TB (HDD SATA),1000,False,5 TB @ 1 Gbps,"Stockholm, SE",Sweden,SE,124,EUR,153.0,https://valebyte.com/en/servers/intel-xeon-e-2276g-38ghz-6-cores-stockholm-se/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E-2276G 3.8GHz 6 cores,Intel Xeon E-2276G 3.8GHz 6 cores,6,12,,16 GB DDR4,16,1 TB (HDD SATA),1000,False,5 TB @ 1 Gbps,"Barcelona, ES",Spain,ES,124,EUR,153.0,https://valebyte.com/en/servers/intel-xeon-e-2276g-38ghz-6-cores-barcelona-es/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E-2276G 3.8GHz 6 cores,Intel Xeon E-2276G 3.8GHz 6 cores,6,12,,16 GB DDR4,16,1 TB (HDD SATA),1000,False,5 TB @ 1 Gbps,"Budapest, HU",Hungary,HU,124,EUR,153.0,https://valebyte.com/en/servers/intel-xeon-e-2276g-38ghz-6-cores-budapest-hu/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E-2276G 3.8GHz 6 cores,Intel Xeon E-2276G 3.8GHz 6 cores,6,12,,16 GB DDR4,16,1 TB (HDD SATA),1000,False,5 TB @ 1 Gbps,"Madrid, ES",Spain,ES,124,EUR,153.0,https://valebyte.com/en/servers/intel-xeon-e-2276g-38ghz-6-cores-madrid-es/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E-2276G 3.8GHz 6 cores,Intel Xeon E-2276G 3.8GHz 6 cores,6,12,,16 GB DDR4,16,1 TB (HDD SATA),1000,False,5 TB @ 1 Gbps,"Manchester, UK",UK,UK,124,EUR,153.0,https://valebyte.com/en/servers/intel-xeon-e-2276g-38ghz-6-cores-manchester-uk/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Core i9-9900K,Intel Core i9-9900K,,,,128 GB DDR4,128,2x 1.0 TB (NVMe),2000,True,Unmetered @ 1 Gbps,"Falkenstein, Germany",Germany,DE,125,EUR,154.0,https://valebyte.com/en/servers/intel-core-i9-9900k-falkenstein-germany-1/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1230 v6 3.5GHz 4 cores,Intel Xeon E3-1230 v6 3.5GHz 4 cores,4,8,,32 GB DDR4,32,256 GB (SSD SATA),256,False,10 TB @ 1 Gbps,"Sao Paulo, BR",Brazil,BR,126,EUR,155.0,https://valebyte.com/en/servers/intel-xeon-e3-1230-v6-35ghz-4-cores-sao-paulo-br/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon-E 2386G 3.5GHz 6 cores,Intel Xeon-E 2386G 3.5GHz 6 cores,6,12,,32 GB DDR4 ECC,32,2x 512 GB (NVME SoftRAID),1024,True,Unmetered @ 500 Mbps,"Singapore, SG",Singapore,SG,126,EUR,155.0,https://valebyte.com/en/servers/intel-xeon-e-2386g-35ghz-6-cores-singapore-sg-2/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E-2234 3.6GHz 4 cores,Intel Xeon E-2234 3.6GHz 4 cores,4,8,,64 GB DDR4,64,2x 512 GB (SSD SATA),1024,False,Unmetered @ 1 Gbps,"Riga, LV",Latvia,LV,126,EUR,155.0,https://valebyte.com/en/servers/intel-xeon-e-2234-36ghz-4-cores-riga-lv/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E-2246G 3.6GHz 6 cores,Intel Xeon E-2246G 3.6GHz 6 cores,6,12,,64 GB DDR4,64,2x 1 TB (SSD NVMe),2000,True,Unmetered @ 1 Gbps,"Paris, FR",France,FR,126,EUR,155.0,https://valebyte.com/en/servers/intel-xeon-e-2246g-36ghz-6-cores-paris-fr-1/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Core i7-8700K 3.7GHz 6 cores,Intel Core i7-8700K 3.7GHz 6 cores,6,12,,16 GB DDR3,16,2x 240 GB (SSD SATA),480,False,20 TB @ 1 Gbps,"Chisinau, MD",Moldova,MD,126,EUR,155.0,https://valebyte.com/en/servers/intel-core-i7-8700k-37ghz-6-cores-chisinau-md/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
E3-1270 v6,E3-1270 v6,,8,,32GB,32,250 GB (SSD),250,False,5TB @ 1 Gbps,"Sao Paulo, BR",Brazil,BR,155,USD,155.0,https://valebyte.com/en/servers/e3-1270-v6-sao-paulo-br/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
E-2234,E-2234,4,8,,32GB,32,250 GB (SSD),250,False,5TB @ 1 Gbps,"Seoul, KR",South Korea,KR,155,USD,155.0,https://valebyte.com/en/servers/e-2234-seoul-kr/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1270V3,Intel Xeon E3-1270V3,,,,32 GB DDR3 ECC,32,4x 10.0 TB (HDD),40000,False,Unmetered @ 1 Gbps,"Falkenstein, Germany",Germany,DE,127,EUR,156.0,https://valebyte.com/en/servers/intel-xeon-e3-1270v3-falkenstein-germany/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E-2334 3.4GHz 4 cores,Intel Xeon E-2334 3.4GHz 4 cores,4,8,,16 GB DDR4,16,2x 1 TB (SSD SATA),2000,False,Unmetered @ 1 Gbps,"Johannesburg, ZA",South Africa,ZA,128,EUR,158.0,https://valebyte.com/en/servers/intel-xeon-e-2334-34ghz-4-cores-johannesburg-za/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E-2334 3.4GHz 4 cores,Intel Xeon E-2334 3.4GHz 4 cores,4,8,,16 GB DDR4,16,2x 1 TB (SSD SATA),2000,False,Unmetered @ 1 Gbps,"Cape Town, ZA",South Africa,ZA,128,EUR,158.0,https://valebyte.com/en/servers/intel-xeon-e-2334-34ghz-4-cores-cape-town-za/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1271V3,Intel Xeon E3-1271V3,,,,32 GB DDR3 ECC,32,4x 10.0 TB (HDD),40000,False,Unmetered @ 1 Gbps,"Falkenstein, Germany",Germany,DE,128,EUR,158.0,https://valebyte.com/en/servers/intel-xeon-e3-1271v3-falkenstein-germany/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
[Dual] Intel Xeon L5630 2.133GHz 4 cores,[Dual] Intel Xeon L5630 2.133GHz 4 cores,4,8,,16 GB DDR3,16,250 GB (SSD SATA),250,False,Unmetered @ 10 Mbps,"Seoul, KR",South Korea,KR,128,EUR,158.0,https://valebyte.com/en/servers/dual-intel-xeon-l5630-2133ghz-4-cores-seoul-kr/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
AMD Ryzen 7 7700,AMD Ryzen 7 7700,,,,64 GB DDR5,64,2x 1.0 TB (NVMe),2000,True,Unmetered @ 1 Gbps,"Helsinki, Finland",Finland,FI,128,EUR,158.0,https://valebyte.com/en/servers/amd-ryzen-7-7700-helsinki-finland/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Core i7-7700 3.6GHz 4 cores,Intel Core i7-7700 3.6GHz 4 cores,4,8,,32 GB DDR4,32,480 GB (SSD SATA),480,False,Unmetered @ 1 Gbps,"Lisbon, PT",Portugal,PT,129,EUR,159.0,https://valebyte.com/en/servers/intel-core-i7-7700-36ghz-4-cores-lisbon-pt/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1240L v5 2.1GHz 4 cores,Intel Xeon E3-1240L v5 2.1GHz 4 cores,4,8,,16 GB DDR4,16,4x 4 TB (HDD SATA),16000,False,10 TB @ 1 Gbps,"Stockholm, SE",Sweden,SE,129,EUR,159.0,https://valebyte.com/en/servers/intel-xeon-e3-1240l-v5-21ghz-4-cores-stockholm-se/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Core i7-8700 3.2GHz 6 cores,Intel Core i7-8700 3.2GHz 6 cores,6,12,,12 GB DDR4,12,2x 960 GB (SSD SATA),1920,False,Unmetered @ 1 Gbps,"Novi Travnik, BA",Bosnia and Herzegovina,BA,129,EUR,159.0,https://valebyte.com/en/servers/intel-core-i7-8700-32ghz-6-cores-novi-travnik-ba/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
AMD Ryzen 7 5700 3.7GHz 8 cores,AMD Ryzen 7 5700 3.7GHz 8 cores,8,16,,32 GB DDR4,32,2x 512 GB (SSD SATA),1024,False,Unmetered @ 1 Gbps,"Riga, LV",Latvia,LV,129,EUR,159.0,https://valebyte.com/en/servers/amd-ryzen-7-5700-37ghz-8-cores-riga-lv/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E5 1410v2 2.80GHz 4 cores,Intel Xeon E5 1410v2 2.80GHz 4 cores,4,8,5842,64 GB DDR3,64,3 x 6 TB (HDD SATA),18000,False,Unmetered @ 500 Mbps,"Paris, FR",France,FR,130,EUR,160.0,https://valebyte.com/en/servers/intel-xeon-e5-1410v2-2-80ghz-4-64gb-18000gb-paris-fr-3a7a70/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
AMD EPYC 4245P 3.90GHz 6 cores,AMD EPYC 4245P 3.90GHz 6 cores,6,12,31123,32 GB DDR5,32,2 x 1.02 TB (NVMe),2040,True,Unmetered @ 3 Gbps,"Paris, FR",France,FR,130,EUR,160.0,https://valebyte.com/en/servers/amd-epyc-4245p-3-90ghz-6-32gb-2048gb-paris-fr-3cbbc2/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
AMD EPYC 4245P 3.90GHz 6 cores,AMD EPYC 4245P 3.90GHz 6 cores,6,12,31123,32 GB DDR5,32,2 x 1.02 TB (NVMe),2040,True,Unmetered @ 3 Gbps,"Amsterdam, NL",Netherlands,NL,130,EUR,160.0,https://valebyte.com/en/servers/amd-epyc-4245p-3-90ghz-6-32gb-2048gb-amsterdam-nl-b2828a/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
AMD EPYC 7402P 2.8GHz 24 cores,AMD EPYC 7402P 2.8GHz 24 cores,24,48,,64 GB DDR4,64,2x 480 GB (SSD SATA),960,False,100 TB @ 1 Gbps,"Amsterdam, NL",Netherlands,NL,130,EUR,160.0,https://valebyte.com/en/servers/amd-epyc-7402p-28ghz-24-cores-amsterdam-nl-4/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E-2246G 3.60GHz 6 cores,Intel Xeon E-2246G 3.60GHz 6 cores,6,12,14018,32 GB DDR4,32,2 x 480 GB (NVMe SSD),960,True,Unmetered @ 750 Mbps,"Amsterdam, NL",Netherlands,NL,130,EUR,160.0,https://valebyte.com/en/servers/intel-xeon-e-2246g-3-60ghz-6-32gb-960gb-amsterdam-nl-1753e3/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E-2246G 3.60GHz 6 cores,Intel Xeon E-2246G 3.60GHz 6 cores,6,12,14018,32 GB DDR4,32,2 x 480 GB (NVMe SSD),960,True,Unmetered @ 750 Mbps,"Paris, FR",France,FR,130,EUR,160.0,https://valebyte.com/en/servers/intel-xeon-e-2246g-3-60ghz-6-32gb-960gb-paris-fr-6c661a/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
AMD Ryzen 7 5800X 3.8GHz 8 cores,AMD Ryzen 7 5800X 3.8GHz 8 cores,8,16,,64 GB DDR4 ECC,64,2x 960 GB (NVME SoftRAID),1920,True,Unmetered @ 1 Gbps,"London, GB",London,,131,EUR,161.0,https://valebyte.com/en/servers/amd-ryzen-7-5800x-38ghz-8-cores-london-gb/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
AMD EPYC 4244P 3.8GHz 6 cores,AMD EPYC 4244P 3.8GHz 6 cores,6,12,,128 GB DDR4 ECC,128,2x 960 GB (NVME SoftRAID),1920,True,Unmetered @ 3 Gbps,"Roubaix, FR",France,FR,131,EUR,161.0,https://valebyte.com/en/servers/amd-epyc-4244p-38ghz-6-cores-roubaix-fr-1/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E5-2637 v4 3.5GHz 4 cores,Intel Xeon E5-2637 v4 3.5GHz 4 cores,4,8,,16 GB DDR4,16,1 TB (HDD SATA),1000,False,25 TB @ 1 Gbps,"Porto, PT",Portugal,PT,131,EUR,161.0,https://valebyte.com/en/servers/intel-xeon-e5-2637-v4-35ghz-4-cores-porto-pt/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
AMD Ryzen 7 5800X 3.8GHz 8 cores,AMD Ryzen 7 5800X 3.8GHz 8 cores,8,16,,64 GB DDR4 ECC,64,2x 960 GB (NVME SoftRAID),1920,True,Unmetered @ 1 Gbps,"Beauharnois, CA",Canada,CA,131,EUR,161.0,https://valebyte.com/en/servers/amd-ryzen-7-5800x-38ghz-8-cores-beauharnois-ca/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
AMD Ryzen 7 3700X 3.6GHz 8 cores,AMD Ryzen 7 3700X 3.6GHz 8 cores,8,16,,64 GB DDR4,64,2x 480 GB (SSD NVMe),960,True,Unmetered @ 1 Gbps,"Tirana, AL",Albania,AL,131,EUR,161.0,https://valebyte.com/en/servers/amd-ryzen-7-3700x-36ghz-8-cores-tirana-al/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
AMD Ryzen 7 5800X 3.8GHz 8 cores,AMD Ryzen 7 5800X 3.8GHz 8 cores,8,16,,64 GB DDR4 ECC,64,2x 960 GB (NVME SoftRAID),1920,True,Unmetered @ 1 Gbps,"Gravelines, FR",France,FR,131,EUR,161.0,https://valebyte.com/en/servers/amd-ryzen-7-5800x-38ghz-8-cores-gravelines-fr/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
AMD Ryzen 7 5800X 3.8GHz 8 cores,AMD Ryzen 7 5800X 3.8GHz 8 cores,8,16,,64 GB DDR4 ECC,64,2x 960 GB (NVME SoftRAID),1920,True,Unmetered @ 1 Gbps,"Warsaw, PL",Poland,PL,131,EUR,161.0,https://valebyte.com/en/servers/amd-ryzen-7-5800x-38ghz-8-cores-warsaw-pl-1/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
AMD Ryzen 7 5800X 3.8GHz 8 cores,AMD Ryzen 7 5800X 3.8GHz 8 cores,8,16,,64 GB DDR4 ECC,64,2x 960 GB (NVME SoftRAID),1920,True,Unmetered @ 1 Gbps,"Strasbourg, FR",France,FR,131,EUR,161.0,https://valebyte.com/en/servers/amd-ryzen-7-5800x-38ghz-8-cores-strasbourg-fr/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
AMD Epyc 7371 3.1GHz 16 cores,AMD Epyc 7371 3.1GHz 16 cores,16,32,,128 GB DDR4 ECC,128,2x 6 TB + 2x 960 GB (SATA Hybrid SoftRAID),13920,False,Unmetered @ 1 Gbps,"Strasbourg, FR",France,FR,131,EUR,161.0,https://valebyte.com/en/servers/amd-epyc-7371-31ghz-16-cores-strasbourg-fr/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
AMD Epyc 7371 3.1GHz 16 cores,AMD Epyc 7371 3.1GHz 16 cores,16,32,,128 GB DDR4 ECC,128,2x 6 TB + 2x 960 GB (SATA Hybrid SoftRAID),13920,False,Unmetered @ 1 Gbps,"Beauharnois, CA",Canada,CA,131,EUR,161.0,https://valebyte.com/en/servers/amd-epyc-7371-31ghz-16-cores-beauharnois-ca/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
AMD Epyc 7371 3.1GHz 16 cores,AMD Epyc 7371 3.1GHz 16 cores,16,32,,128 GB DDR4 ECC,128,2x 6 TB + 2x 960 GB (SATA Hybrid SoftRAID),13920,False,Unmetered @ 1 Gbps,"Warsaw, PL",Poland,PL,131,EUR,161.0,https://valebyte.com/en/servers/amd-epyc-7371-31ghz-16-cores-warsaw-pl-1/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
AMD Ryzen 7 5800X 3.8GHz 8 cores,AMD Ryzen 7 5800X 3.8GHz 8 cores,8,16,,64 GB DDR4 ECC,64,2x 960 GB (NVME SoftRAID),1920,True,Unmetered @ 1 Gbps,"Frankfurt, DE",Germany,DE,131,EUR,161.0,https://valebyte.com/en/servers/amd-ryzen-7-5800x-38ghz-8-cores-frankfurt-de-1/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
AMD Epyc 7371 3.1GHz 16 cores,AMD Epyc 7371 3.1GHz 16 cores,16,32,,128 GB DDR4 ECC,128,2x 6 TB + 2x 960 GB (SATA Hybrid SoftRAID),13920,False,Unmetered @ 1 Gbps,"London, GB",London,,131,EUR,161.0,https://valebyte.com/en/servers/amd-epyc-7371-31ghz-16-cores-london-gb/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
AMD Epyc 7371 3.1GHz 16 cores,AMD Epyc 7371 3.1GHz 16 cores,16,32,,128 GB DDR4 ECC,128,2x 6 TB + 2x 960 GB (SATA Hybrid SoftRAID),13920,False,Unmetered @ 1 Gbps,"Roubaix, FR",France,FR,131,EUR,161.0,https://valebyte.com/en/servers/amd-epyc-7371-31ghz-16-cores-roubaix-fr/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
AMD Epyc 7371 3.1GHz 16 cores,AMD Epyc 7371 3.1GHz 16 cores,16,32,,128 GB DDR4 ECC,128,2x 6 TB + 2x 960 GB (SATA Hybrid SoftRAID),13920,False,Unmetered @ 1 Gbps,"Frankfurt, DE",Germany,DE,131,EUR,161.0,https://valebyte.com/en/servers/amd-epyc-7371-31ghz-16-cores-frankfurt-de-1/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
AMD EPYC 4244P 3.8GHz 6 cores,AMD EPYC 4244P 3.8GHz 6 cores,6,12,,128 GB DDR4 ECC,128,2x 960 GB (NVME SoftRAID),1920,True,Unmetered @ 3 Gbps,"Beauharnois, CA",Canada,CA,131,EUR,161.0,https://valebyte.com/en/servers/amd-epyc-4244p-38ghz-6-cores-beauharnois-ca-1/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
AMD EPYC 4244P 3.8GHz 6 cores,AMD EPYC 4244P 3.8GHz 6 cores,6,12,,128 GB DDR4 ECC,128,2x 960 GB (NVME SoftRAID),1920,True,Unmetered @ 3 Gbps,"Gravelines, FR",France,FR,131,EUR,161.0,https://valebyte.com/en/servers/amd-epyc-4244p-38ghz-6-cores-gravelines-fr-1/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E5-2637 v4 3.5GHz 4 cores,Intel Xeon E5-2637 v4 3.5GHz 4 cores,4,8,,16 GB DDR4,16,1 TB (HDD SATA),1000,False,25 TB @ 1 Gbps,"Lisbon, PT",Portugal,PT,131,EUR,161.0,https://valebyte.com/en/servers/intel-xeon-e5-2637-v4-35ghz-4-cores-lisbon-pt/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
E-2246G,E-2246G,,12,,64GB,64,1 TB (SSD),1000,False,5TB @ 1 Gbps,"Johannesburg, ZA",South Africa,ZA,161,USD,161.0,https://valebyte.com/en/servers/e-2246g-johannesburg-za/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
[Dual] Intel Xeon E5-2670 2.6GHz 8 cores,[Dual] Intel Xeon E5-2670 2.6GHz 8 cores,8,16,,256 GB DDR3,256,3x 3 TB (HDD SAS),9000,False,Unmetered @ 1 Gbps,"Paris, FR",France,FR,132,EUR,162.0,https://valebyte.com/en/servers/dual-intel-xeon-e5-2670-26ghz-8-cores-paris-fr/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E-2276G 3.8GHz 6 cores,Intel Xeon E-2276G 3.8GHz 6 cores,6,12,,32 GB DDR4,32,2x 240 GB (SSD SATA),480,False,30 TB @ 1 Gbps,"Zurich, CH",Switzerland,CH,132,EUR,162.0,https://valebyte.com/en/servers/intel-xeon-e-2276g-38ghz-6-cores-zurich-ch-1/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1230 v5 3GHz 4 cores,Intel Xeon E3-1230 v5 3GHz 4 cores,4,8,,8 GB DDR4,8,1 TB (HDD SATA),1000,False,5 TB @ 1 Gbps,"Sao Paulo, BR",Brazil,BR,133,EUR,164.0,https://valebyte.com/en/servers/intel-xeon-e3-1230-v5-3ghz-4-cores-sao-paulo-br/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Core i3-4150 3.5GHz 2 cores,Intel Core i3-4150 3.5GHz 2 cores,2,4,,8 GB DDR3,8,2x 1 TB (HDD SATA),2000,False,Unmetered @ 100 Mbps,"Kuala Lumpur, MY",Malaysia,MY,133,EUR,164.0,https://valebyte.com/en/servers/intel-core-i3-4150-35ghz-2-cores-kuala-lumpur-my/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
